Device Type ID,Device Type,Device Type Group
0x0016,Root Node,Utility
0x0011,Power Source,Utility
0x0012,OTA Requestor,Utility
0x0014,OTA Provider,Utility
0x0013,Bridged Node,Utility
0x0510,Electrical Sensor,Utility
0x050D,Device Energy Management,Utility
0x0019,Secondary Network Interface,Utility
0x0130,Joint Fabric Administrator,Utility
0x0100,On/Off Light,Lighting
0x0101,Dimmable Light,Lighting
0x010C,Color Temperature Light,Lighting
0x010D,Extended Color Light,Lighting
0x010A,On/Off Plug-in Unit,Smart plugs/outlets and other actuators
0x010B,Dimmable Plug-In Unit,Smart plugs/outlets and other actuators
0x010F,Mounted On/Off Control,Smart plugs/outlets and other actuators
0x0110,Mounted Dimmable Load Control,Smart plugs/outlets and other actuators
0x0303,Pump,Smart plugs/outlets and other actuators
0x0042,Water Valve,Smart plugs/outlets and other actuators
0x0103,On/Off Light Switch,Switches and controls
0x0104,Dimmer Switch,Switches and controls
0x0105,Color Dimmer Switch,Switches and controls
0x0840,Control Bridge,Switches and controls
0x0304,Pump Controller,Switches and controls
0x000F,Generic Switch,Switches and controls
0x0015,Contact Sensor,Sensors
0x0106,Light Sensor,Sensors
0x0107,Occupancy Sensor,Sensors
0x0302,Temperature Sensor,Sensors
0x0305,Pressure Sensor,Sensors
0x0306,Flow Sensor,Sensors
0x0307,Humidity Sensor,Sensors
0x0850,On/Off Sensor,Sensors
0x0076,Smoke CO Alarm,Sensors
0x002C,Air Quality Sensor,Sensors
0x0041,Water Freeze Detector,Sensors
0x0043,Water Leak Detector,Sensors
0x0044,Rain Sensor,Sensors
0x000A,Door Lock,Closures
0x000B,Door Lock Controller,Closures
0x0202,Window Covering,Closures
0x0203,Window Covering Controller,Closures
0x0301,Thermostat,HVAC
0x002B,Fan,HVAC
0x002D,Air Purifier,HVAC
0x0028,Basic Video Player,Media
0x0023,Casting Video Player,Media
0x0022,Speaker,Media
0x0024,Content App,Media
0x0029,Casting Video Client,Media
0x002A,Video Remote Control,Media
0x0027,Mode Select,Generic
0x000E,Aggregator,Generic
0x0074,Robotic Vacuum Cleaner,Robotic Devices
0x0070,Refrigerator,Appliances
0x0071,Temperature Controlled Cabinet,Appliances
0x0072,Room Air Conditioner,Appliances
0x0073,Laundry Washer,Appliances
0x0075,Dishwasher,Appliances
0x0077,Cook Surface,Appliances
0x0078,Cooktop,Appliances
0x0079,Microwave Oven,Appliances
0x007A,Extractor Hood,Appliances
0x007B,Oven,Appliances
0x007C,Laundry Dryer,Appliances
0x050C,EVSE,Energy
0x050F,Water Heater,Energy
0x0017,Solar Power,Energy
0x0018,Battery Storage,Energy
0x0309,Heat Pump,Energy
0x0090,Network Infrastructure Manager,Network infrastructure
0x0091,Thread Border Router,Network infrastructure